Artist,Listeners,Daily Trend,Peak,PkListeners
New Order,5999430,"-13,176",1257,"6,523,858"
Shinedown,5998829,"-4,537",1552,"6,192,670"
FrÃ©dÃ©ric Chopin,5998524,"15,834",1249,"6,604,866"
Los AutÃ©nticos Decadentes,5996276,"1,226",1292,"6,390,639"
Sheck Wes,5991735,"6,199",1286,"6,537,153"
Alle Farben,5984512,"-1,480",1363,"6,910,068"
Westside Gunn,5984415,"-54,631",1310,"7,172,261"
Chris Young,5983454,"-35,943",1388,"6,557,043"
CRO,5980932,"14,738",1567,"6,167,724"
Pesado,5978102,"-38,642",1547,"6,326,008"
Bruno Martini,5977863,"4,219",1643,"6,004,945"
Chase & Status,5976556,"18,207",1620,"6,126,260"
La Roux,5974833,"30,974",1655,"5,974,833"
Kevin Gates,5973041,"-4,753",1347,"6,599,566"
Akhil,5965770,"-1,726",1079,"8,166,073"
Conor Maynard,5962639,"-12,089",1391,"6,804,973"
ThxSoMch,5958414,"30,674",783,"9,386,209"
Carly Simon,5946527,"-38,546",1483,"6,304,383"
DIVINE,5942055,"-56,840",1360,"6,899,750"
Mc Kevin,5937708,"19,787",1680,"5,937,708"
gnash,5936780,"-58,427",1507,"6,319,126"
DDG,5936525,"-2,638",1276,"7,270,211"
The Emotions,5930566,"1,435",1647,"5,938,617"
Ski Aggu,5923929,"10,708",1673,"5,923,929"
Chefin,5920459,"18,646",1480,"5,920,459"
Sam C.S.,5913782,"55,836",1686,"5,913,782"
11:11 Music Group,5906998,"-19,356",955,"8,141,605"
Simply Red,5894467,"-3,046",1557,"6,037,555"
Stevie Nicks,5891672,"-37,372",1461,"6,078,955"
Billy Currington,5890547,"17,537",1531,"6,254,418"
Lucky Daye,5888435,"2,088",1032,"7,754,167"
IU,5887646,"12,366",901,"8,805,240"
Rainbow Kitten Surprise,5883763,"-20,501",1093,"7,503,419"
Air Supply,5882855,"15,101",1640,"5,882,855"
Anvita Dutt,5873856,"14,454",1245,"6,689,226"
Mc Davi,5872226,"12,184",1420,"6,074,336"
Alejo,5869706,"97,747",1183,"6,997,702"
Boza,5855587,"-13,865",1462,"6,485,199"
AnahÃ­,5852075,"18,599",1241,"6,599,848"
Kaskade,5849006,"-13,322",1305,"6,562,786"
The Bangles,5843492,"-1,527",1629,"6,024,943"
Grupo Niche,5842270,"-2,944",1640,"6,013,120"
Phantogram,5839773,388,1252,"6,704,724"
The Pointer Sisters,5838959,"-6,953",1567,"5,992,225"
RADWIMPS,5836676,"-5,231",1315,"6,704,898"
Lennon Stella,5828897,"-17,581",1256,"6,542,984"
Duelo,5827392,"12,149",1636,"5,956,645"
Pat Benatar,5825536,"5,369",1673,"5,825,696"
Arizona Zervas,5823590,"-4,442",1247,"6,576,145"
Alvaro Diaz,5823414,"7,174",1498,"5,823,414"
Jet,5823302,"-11,781",1248,"7,356,943"
Ana Mena,5820910,"-10,217",1461,"6,177,733"
Suzanne D'Mello,5819657,"11,106",1266,"7,127,071"
JubÃ«l,5819473,"-23,831",1336,"6,965,832"
Cat Burns,5817846,"-31,278",1035,"7,835,224"
Frankie Ruiz,5817729,"-9,861",1671,"5,925,252"
Gabby Barrett,5817342,"-3,890",1534,"6,271,572"
Brett Young,5813932,"-43,120",1424,"6,662,926"
thuy,5808015,"-17,519",1651,"5,950,997"
GoldLink,5807342,"10,465",1600,"5,807,342"
Rob Zombie,5806788,"6,685",1720,"5,806,788"
Ana BÃ¡rbara,5804841,"17,988",1387,"6,143,940"
Chris Isaak,5802066,"4,695",1633,"6,019,359"
Peter Gabriel,5801260,"7,053",1504,"5,916,206"
Madism,5801190,"-44,396",1269,"6,536,394"
Dillon Francis,5800827,"-1,650",1205,"6,761,800"
TRASHXRL,5799172,"14,002",1727,"5,799,172"
Red Velvet,5797937,"-6,311",1034,"7,748,512"
A Touch Of Class,5797608,"-5,841",1445,"6,193,660"
Alexander Stewart,5792141,"-43,825",1709,"5,835,966"
La Mosca Tse-Tse,5791036,327,1708,"5,791,036"
Kenny Dope,5790912,"-4,910",1505,"6,169,342"
Steppenwolf,5790885,"-14,389",1656,"5,850,511"
MC Menor MT,5787911,-334,1018,"7,668,287"
Chino & Nacho,5786852,"10,356",1626,"5,797,274"
Mike Perry,5786843,"-45,560",1245,"6,662,346"
Lily-Rose Depp,5786818,"39,403",1148,"7,832,924"
Bryan Martin,5786225,"356,099",1738,"5,786,225"
ChitÃ£ozinho & XororÃ³,5784285,"23,909",1734,"5,784,285"
Hungria Hip Hop,5782625,"3,689",1730,"5,782,625"
Tyler Hubbard,5781660,"72,044",1488,"6,415,587"
Sub Urban,5779107,"7,331",1361,"6,184,586"
James Taylor,5775165,"3,863",1458,"6,099,568"
Whitesnake,5773102,"-1,852",1605,"5,797,174"
Caifanes,5772645,"15,370",1713,"5,772,645"
Martin Solveig,5772235,"-12,074",1465,"6,162,897"
Rich The Kid,5770895,"15,089",916,"8,433,306"
Beny Jr,5768253,"-12,704",1363,"6,831,062"
Naldo Benny,5767816,"3,438",1676,"5,869,368"
Elevation Worship,5759350,"6,938",1700,"5,759,350"
PSY,5756616,"-11,433",1429,"5,919,444"
Kris Kross Amsterdam,5753650,"-19,760",1652,"5,976,796"
Money Man,5752902,"35,230",1414,"6,115,902"
Wings,5746821,"-13,583",1659,"5,856,394"
Virlan Garcia,5742273,"28,800",1338,"6,495,226"
ValentÃ­n Elizalde,5739586,"6,246",1549,"5,888,379"
Bas,5736032,"-71,194",1448,"6,610,936"
LSD,5735368,"11,668",1684,"5,790,042"
Los Temerarios,5734984,"36,763",1759,"5,734,984"
Naps,5732205,"-11,179",1655,"5,862,526"
Yo Gotti,5730514,"-44,259",1624,"6,056,530"
Tom Jones,5729399,"37,091",1760,"5,729,399"
Christian ChÃ¡vez,5727190,"18,160",1273,"6,446,229"
A Tribe Called Quest,5726158,"-5,847",1747,"5,732,005"
La Ley,5719979,"-24,609",1503,"5,945,410"
Los Fabulosos Cadillacs,5719340,"2,000",1550,"6,185,099"
RAF Camora,5717441,"21,282",1336,"6,677,495"
Quality Control,5716972,"28,122",1305,"6,462,956"
Aastha Gill,5715876,535,1555,"6,157,404"
Abhijay Sharma,5709827,"-28,644",1055,"8,368,836"
Modern Talking,5709669,"12,570",1669,"5,732,548"
Teddy Swims,5706645,"45,131",1708,"5,706,645"
Paradox,5705107,"11,793",1772,"5,705,107"
Pierce The Veil,5704210,"-6,605",1629,"5,882,692"
Mc JacareÌ,5695310,"1,197",1189,"6,839,972"
Alice Cooper,5691834,"2,672",1415,"6,556,165"
Vanessa Carlton,5689510,"-5,104",1750,"5,697,299"
Ed Maverick,5686166,"-6,270",1492,"5,938,489"
Cookin' On 3 Burners,5685420,"-5,116",1701,"5,777,256"
"Grover Washington, Jr.",5685091,"15,398",1459,"6,084,681"
Mark Morrison,5683079,"5,243",1637,"5,684,448"
Ricchi E Poveri,5681238,"-4,915",1755,"5,692,567"
The Human League,5680811,667,1721,"5,744,189"
Dayglow,5674850,"-16,909",1335,"6,472,359"
City Girls,5674219,"4,051",1626,"5,919,486"
Leony,5671458,"-17,335",1353,"6,374,523"
Dean Martin,5670370,"33,259",1787,"5,670,370"
Sam Fischer,5667558,"-6,767",1198,"6,946,107"
salem ilese,5666254,"-9,976",1151,"6,989,188"
Klaas,5658306,"-8,523",1592,"5,862,549"
Nacho,5657267,"27,108",1460,"5,827,157"
TOLCHONOV,5656843,"30,867",1792,"5,656,843"
Capo Plaza,5651637,"-8,040",1674,"5,835,486"
Yiyo Sarante,5650385,"-21,026",1694,"5,858,949"
Edward Sharpe & The Magnetic Zeros,5647748,"8,209",1795,"5,647,748"
Good Charlotte,5641467,"-3,764",1598,"5,751,573"
Asake,5640895,"23,071",1698,"5,705,919"
Luude,5638719,"-1,395",1401,"6,109,311"
Codiciado,5638662,"11,731",1171,"7,311,880"
Mabel Matiz,5636924,-786,1709,"5,652,537"
Gaab,5635443,"23,743",1517,"5,844,692"
Bone Thugs-N-Harmony,5633774,"-52,891",1254,"6,586,218"
GORDÃO DO PC,5633229,"16,466",1803,"5,633,229"
imase,5632923,"-11,842",1518,"6,319,389"
Madhur Sharma,5626247,"51,683",1013,"8,122,798"
REO Speedwagon,5626038,"7,987",1718,"5,626,038"
Ari Abdul,5623507,"-11,859",1775,"5,678,812"
Dopamine,5623391,"-2,027",1410,"6,046,891"
The Rare Occasions,5620568,"-13,153",1757,"5,697,276"
Cian Ducrot,5617338,"-37,281",1192,"6,808,318"
Donna Summer,5614520,"-3,348",1577,"6,062,032"
Riley Green,5612574,"-11,330",1806,"5,623,904"
IZA,5612318,"-45,402",1606,"6,135,383"
Janet Jackson,5607659,"-5,618",1438,"5,941,209"
Afgan,5605853,"22,462",1726,"5,609,635"
Dubdogz,5605586,"-12,433",1538,"5,737,985"
MoonDeity,5604684,"6,257",1533,"5,790,882"
Ghostemane,5599751,"1,884",1414,"6,359,963"
6arelyhuman,5597344,"-2,532",1815,"5,599,876"
KIDDO,5596583,"-26,062",1402,"6,301,013"
Andrea Bocelli,5594155,"-3,254",1597,"5,597,409"
Frankie Valli,5591748,"-1,460",1712,"5,648,272"
Dylan Scott,5582471,"-5,754",1713,"5,764,983"
Au/Ra,5582389,"-8,030",1194,"6,859,938"
Anand-Milind,5579028,"-10,194",1704,"5,688,294"
L-Gante,5578133,"-12,407",1045,"7,518,307"
Turma do Pagode,5575097,"38,272",1707,"5,575,097"
Tom Rosenthal,5573894,"-2,912",1288,"6,517,430"
Maldy,5566826,"-30,639",691,"10,201,287"
Omar Varela,5564940,"41,756",1452,"5,956,446"
Don Henley,5560094,-890,1657,"5,838,373"
southstar,5548972,"-13,654",1386,"6,611,447"
Haley Reinhart,5548552,"7,394",1600,"5,548,552"
Luis Mexia,5548082,"-5,053",1378,"6,219,575"
Eddie Santiago,5539283,"-17,733",1765,"5,629,944"
Alan Gomez,5532449,-420,1383,"6,158,065"
Savage Garden,5526918,"-2,586",1621,"5,713,014"
Stefflon Don,5524458,"-4,322",1552,"5,741,225"
Jigar Saraiya,5523047,"9,356",1672,"5,813,191"
Baby Tate,5520562,"-10,958",693,"10,931,256"
Angus & Julia Stone,5514273,"3,060",1733,"5,514,273"
S. Janaki,5513029,"2,063",1838,"5,514,959"
Helsloot,5508000,"37,244",1631,"5,916,044"
N.W.A.,5505285,"-46,830",1558,"5,819,704"
Volbeat,5502566,"-5,260",1709,"5,808,321"
Flo Milli,5501444,"41,620",1390,"6,521,078"
Dewa 19,5501235,"47,012",1847,"5,501,235"
vaultboy,5490461,"-43,558",1608,"6,035,064"
Yebba,5482727,569,1720,"5,482,727"
Maninder Buttar,5481944,"29,419",1702,"5,651,281"
Gur Sidhu,5481672,"-25,820",1701,"5,701,016"
Vidyasagar,5478898,"1,945",1847,"5,478,898"
Yung Lean,5470331,"-45,464",1430,"6,742,195"
Keisya Levronka,5469605,"32,942",1507,"6,259,545"
Sezen Aksu,5469120,-893,1817,"5,497,509"
Thiaguinho,5468388,"38,362",1837,"5,468,388"
For Revenge,5464494,"-11,388",1795,"5,589,243"
Mrs. GREEN APPLE,5463651,"-7,229",1816,"5,470,880"
Awdella,5463582,"-2,389",1706,"5,671,244"
Flowdan,5463217,"41,238",1571,"5,621,988"
YOVNGCHIMI,5459116,"16,996",1612,"6,007,605"
Still Woozy,5457956,"10,837",1517,"5,888,212"
Canserbero,5457808,"12,723",1862,"5,457,808"
Kim Carnes,5452849,"23,551",1864,"5,452,849"
El Chachito,5448677,"-18,868",1072,"7,650,499"
Victor Thompson,5448503,"-16,020",1637,"5,927,623"
Riar Saab,5440350,"-29,470",1064,"8,331,361"
Clinton Kane,5438819,"-6,373",1049,"7,469,785"
Gipsy Kings,5434951,"-7,902",1756,"5,587,010"
Four Tops,5432920,"11,858",1814,"5,432,920"
Elefante,5422283,"16,317",1825,"5,422,283"
Lefty Sm,5409932,"191,077",1872,"5,409,932"
Lupe Fiasco,5406219,"4,709",1781,"5,534,886"
Sohail Sen,5403286,"12,109",1845,"5,403,286"
Sonder,5400651,"10,148",1875,"5,400,651"
Sevek,5398651,"-8,545",1291,"6,415,204"
Teezo Touchdown,5395227,67,1254,"7,377,072"
Jamie Foxx,5394594,"3,966",1751,"5,394,594"
Baby Gang,5392111,"-2,080",1625,"5,920,044"
Huey Lewis & The News,5391967,"-13,688",1709,"5,517,867"
Eiffel 65,5390391,"-16,156",1586,"5,725,560"
LF SYSTEM,5389552,"2,421",1390,"6,340,364"
Roberto Carlos,5386395,"-4,404",1593,"5,768,938"
CeeLo Green,5383566,"53,909",1875,"5,383,566"
Jennifer Warnes,5381530,"-7,127",1732,"5,504,554"
ICON,5377896,"217,299",1886,"5,377,896"
Salim Merchant,5377661,"-8,431",1636,"5,804,113"
UZI,5374125,"11,264",1840,"5,382,813"
MC Caja,5371985,"-47,336",1530,"6,236,016"
SinÃ©ad O'Connor,5365408,"-63,098",939,"9,208,047"
Mufasa & Hypeman,5363435,"4,470",1417,"5,977,567"
g3ox_em,5360272,"-8,922",1367,"6,310,602"
Dexys Midnight Runners,5359413,"-11,848",1820,"5,473,777"
Tujamo,5358925,"-5,967",1673,"5,543,630"
K.Flay,5357591,"8,823",1579,"5,523,747"
Idgitaf,5356732,"129,723",1896,"5,356,732"
Supermode,5353187,"11,980",1897,"5,353,187"
Summer Cem,5349708,"-5,256",1861,"5,407,012"
Bruno Major,5347053,"-8,784",1554,"6,005,603"
Jacquees,5346989,"71,379",1635,"5,516,860"
Emmanuel,5346227,"9,557",1666,"5,559,713"
Vundabar,5346127,"10,165",1752,"5,479,239"
Enny-Mae,5345022,"55,736",1903,"5,345,022"
Miky Woodz,5344736,"10,217",1779,"5,443,706"
Batas Senja,5339137,"27,856",1905,"5,339,137"
Daya,5338959,"-5,657",1348,"6,667,067"
Borges,5335195,"-7,426",1860,"5,394,626"
Lil Jon & The East Side Boyz,5334135,"1,821",1895,"5,339,898"
Chris Lake,5332706,"5,948",1668,"5,671,324"
The Chicks,5332535,"-17,302",1753,"5,594,264"
El Padrinito Toys,5328495,"11,148",1283,"6,692,915"
Michael Giacchino,5326143,987,1616,"5,464,141"
CJ,5325611,"-5,969",1576,"5,856,465"
Xavier Wulf,5320312,"-4,078",1890,"5,332,964"
Hillsong Worship,5319501,"3,968",1546,"5,748,178"
Fuego,5319105,"-13,857",1138,"7,079,607"
Phoenix,5318692,"-2,289",1477,"5,975,682"
Estelle,5317839,"-12,373",1829,"5,330,212"
La K'onga,5313823,"-4,259",1750,"5,406,769"
Jake Owen,5313820,"-17,446",1468,"6,347,763"
Claude Debussy,5310857,"17,457",1500,"5,769,369"
Anuradha Sriram,5307403,-64,1915,"5,307,467"
Ingratax,5304725,"36,149",1526,"5,751,282"
Tornillo,5303346,"11,365",1675,"5,540,492"
Westlife,5300030,-872,1466,"5,880,391"
Mecano,5299434,"-6,219",1772,"5,439,758"
Reyli Barba,5292459,"6,426",1874,"5,292,459"
Mae Muller,5290637,"-24,725",999,"8,352,415"
JEON SOMI,5288735,"-34,337",1905,"5,323,072"
Skepta,5287855,"2,545",1551,"5,556,176"
FKJ,5287623,"2,598",1572,"5,638,156"
Damian Marley,5285846,"-3,958",1764,"5,531,789"
The Kolors,5281135,"17,756",1933,"5,281,135"
Robin Thicke,5280360,"-7,332",1657,"5,413,392"
GuÃ¨,5280088,"3,534",1702,"5,729,244"
Cedric Gervais,5279702,"-2,011",1884,"5,288,938"
Vishal Chandrashekhar,5276593,-249,1871,"5,280,878"
CafunÃ©,5273275,"6,647",1539,"5,788,075"
Pretenders,5269480,"4,380",1623,"5,356,170"
Extreme,5269266,"-9,920",1696,"5,432,537"
Zeeba,5268980,"-14,395",1860,"5,389,315"
Alejandra Guzman,5268419,"16,426",1827,"5,268,419"
Boyz II Men,5267806,"5,101",1697,"5,524,240"
Randy,5267366,"24,269",1491,"5,969,025"
Yura Yunita,5264950,574,1377,"6,198,752"
Hillsong UNITED,5264609,738,1641,"5,534,876"
La Factoria,5263938,"-19,690",1171,"7,662,486"
Brandy,5262182,"-17,567",1731,"5,510,369"
6YNTHMANE,5258249,"3,626",1947,"5,258,249"
Marnik,5257714,"40,019",1950,"5,257,714"
Amaarae,5256368,"-5,120",1263,"7,250,780"
Liam Payne,5256111,"7,939",1594,"5,717,293"
Deepend,5255763,"-20,729",1777,"5,538,439"
Old Jim,5253672,"65,126",1954,"5,253,672"
R. City,5250888,"-15,301",1653,"5,329,737"
Mobb Deep,5248092,"-9,536",1719,"5,261,424"
Yasser Desai,5247211,505,827,"8,738,809"
The Calling,5244167,"-9,549",1906,"5,297,911"
Megadeth,5243596,-576,1649,"5,357,683"
Budi Doremi,5243551,"-2,578",1508,"6,032,948"
"HÃ©ctor ""El Father""",5236407,"-2,067",1770,"5,456,651"
Paloma Mami,5235080,"-11,405",800,"9,021,292"
Hollow Coves,5230817,"3,662",1847,"5,428,035"
Lola Amour,5224235,"-2,043",1895,"5,319,145"
Lifehouse,5224090,"-6,433",1770,"5,328,538"
Mohammed Rafi,5223361,"14,898",1756,"5,492,066"
Declan McKenna,5223215,"-23,240",1698,"5,766,144"
Dadju,5222196,"1,745",1639,"5,364,487"
AnnenMayKantereit,5221614,"-8,616",1380,"6,211,064"
The Score,5221178,"4,207",1576,"5,570,597"
Damso,5220016,"-4,803",1571,"6,049,902"
Travie McCoy,5219000,"13,835",1563,"5,961,970"
Slayer,5216826,"8,794",1527,"6,092,992"
DannyLux,5211483,"73,419",1974,"5,211,483"
Yohani,5208463,"-1,005",983,"7,904,494"
JÃ³sean Log,5206024,-573,1972,"5,206,597"
Lourena,5203305,"-46,259",1750,"5,695,060"
Chord Overstreet,5202733,"-18,736",1615,"5,602,600"
347aidan,5202019,"33,295",1020,"8,259,475"
Natalie Cole,5200736,"6,963",1765,"5,313,346"
AJ Tracey,5200593,"147,988",1655,"5,548,261"
Miksu / Macloud,5197746,"15,942",1476,"5,961,631"
Jakes Bejoy,5195616,"33,371",1983,"5,195,616"
Safri Duo,5192641,"34,237",1984,"5,192,641"
Punctual,5190803,"6,757",1884,"5,190,803"
Auli'i Cravalho,5190662,"37,857",1986,"5,190,662"
Love Funk,5189815,"6,190",1868,"5,189,815"
OFFICIAL HIGE DANDISM,5189533,"-13,343",1603,"5,730,064"
Parker McCollum,5187842,"13,711",1783,"5,503,289"
Los 2 de la S,5187279,"-6,211",1861,"5,376,903"
Vengaboys,5184467,"-4,502",1821,"5,399,892"
Bausa,5178867,"37,845",1992,"5,178,867"
Yuri Redicopa,5177751,"-15,739",1111,"7,223,674"
Seal,5174965,"59,486",1763,"5,500,825"
KYLE,5171771,"12,134",1626,"5,570,937"
Axwell,5169001,"11,418",1914,"5,263,010"
Sido,5167480,"-8,738",1427,"6,066,332"
reidenshi,5164722,"4,811",1732,"5,569,657"
George Benson,5160734,"14,311",1824,"5,337,767"
AngÃ¨le,5160323,"-14,086",1404,"6,042,394"
Tayc,5158404,"-7,696",1398,"6,136,150"
The Monkees,5154577,"-9,869",1564,"6,152,680"
creamy,5151580,"-16,038",1042,"7,626,751"
Walker Hayes,5145882,"-23,949",1379,"6,069,648"
Ami Mishra,5145747,"-10,605",1955,"5,198,742"
Aditya Rikhari,5142370,"-2,025",1908,"5,273,515"
Avvy Sra,5142370,"11,000",2007,"5,142,370"
Sadie Jean,5139811,"11,904",2008,"5,139,811"
Chris MC,5137527,"10,684",1733,"5,140,484"
Yoko Gold,5136051,"16,094",2010,"5,136,051"
Takagi & Ketra,5136051,"-13,490",1886,"5,261,651"
Jamiroquai,5133107,"-8,993",1733,"5,332,057"
Ruel,5132839,"-10,071",1016,"7,721,711"
Delacruz,5128705,"16,114",1920,"5,128,705"
NDX A.K.A.,5127508,"58,560",2015,"5,127,508"
A Day To Remember,5124985,"22,568",1803,"5,251,262"
lucidbeatz,5124322,"-28,347",1797,"5,484,059"
Elvis Crespo,5124057,"-28,067",1882,"5,270,376"
Jerry Rivera,5123659,"-11,454",1912,"5,215,668"
Eliza Rose,5122997,"-16,545",1078,"7,458,821"
Edwin Luna y La Trakalosa de Monterrey,5119561,"28,248",1881,"5,119,561"
Surf Mesa,5115479,"-23,256",1686,"5,699,227"
Polo Gonzalez,5112984,"9,528",1632,"5,597,770"
Nicky Romero,5109581,"-9,584",1565,"6,125,301"
LUCKI,5107622,"17,593",1835,"5,395,995"
Jay Rock,5106970,"5,980",1758,"5,420,413"
Ezhel,5106840,"-33,913",1896,"5,323,582"
ANAVITÃRIA,5098401,"10,166",2028,"5,098,401"
Twisted Sister,5098013,"-35,762",1829,"5,412,007"
JosÃ© GonzÃ¡lez,5096721,"8,871",1858,"5,096,721"
John Williams,5092726,"14,940",1703,"5,491,437"
Ziva Magnolya,5089644,"-2,825",1461,"6,381,695"
Walk off the Earth,5081215,"-16,023",1514,"6,229,255"
Dimitri Vegas,5079816,"-7,011",1421,"6,178,078"
Pras,5079689,"8,350",1974,"5,079,689"
Marina Sena,5073736,"76,110",2036,"5,073,736"
Vince Staples,5072348,"-7,468",1174,"7,106,334"
Jere Klein,5065934,"15,060",2038,"5,065,934"
Jasmine Sandlas,5065433,"-3,389",1839,"5,346,627"
Juhn,5062680,"-2,878",1687,"5,346,206"
Tempoe,5060183,"-15,070",1731,"5,673,324"
Neto PeÃ±a,5058813,"21,202",1721,"5,196,467"
Marracash,5058066,"1,244",1979,"5,156,626"
Kelis,5056077,"-9,481",1746,"5,142,100"
Nathan Evans,5055084,"6,432",1571,"5,678,656"
Gurlez Akhtar,5055084,"-27,276",1553,"6,138,173"
Billy Ocean,5054340,"8,890",1985,"5,065,809"
Sharn,5046311,"5,155",2048,"5,046,311"
Little Big Town,5044467,"-11,486",1713,"5,563,087"
NATHY PELUSO,5043853,"-54,548",1341,"6,680,438"
Mike BahÃ­a,5043730,"19,577",1369,"6,457,022"
DJ LUCAS DE PAULA,5042136,"3,670",2052,"5,042,136"
Naza,5041278,"-12,938",1854,"5,336,814"
Mareux,5040544,"8,652",1486,"5,792,068"
zzoilo,5039199,"-9,699",1511,"5,841,395"
Antonio Vivaldi,5036514,"13,565",2050,"5,036,514"
Yung Bleu,5036026,"-9,547",1305,"6,498,839"
JÃ£o,5035661,"38,387",1516,"5,854,762"
Yuri,5031164,"8,937",1587,"5,547,541"
EST Gee,5030073,"-9,004",1410,"6,176,130"
40k,5028741,"6,634",2060,"5,028,741"
Brad Paisley,5027048,"-4,116",1731,"5,643,084"
Ivy Queen,5019585,"-8,793",1672,"5,800,824"
DJ BOY,5014559,"31,861",2064,"5,014,559"
Young Dolph,5014082,"8,556",1541,"5,582,984"
NOTD,5013843,"-24,379",1352,"6,363,600"
BLANCO,5013009,"2,738",1946,"5,183,345"
Murda,5012055,"-2,863",2065,"5,014,918"
Rachel Platten,5008726,"-17,477",1939,"5,033,957"
Lil' Kim,5008014,"-25,821",1758,"5,661,568"
Aldo Trujillo,5004461,"31,789",1605,"5,665,196"
Jass Manak,5004461,"25,462",2072,"5,004,461"
Shenseea,4996101,"-68,956",1579,"6,201,949"
Andy Rivera,4990719,"9,872",1399,"6,004,762"
Warren G,4988155,"-1,981",1897,"5,047,789"
Pradeep Kumar,4987922,"-2,680",2071,"4,990,719"
Felipe AraÃºjo,4986875,"49,281",2077,"4,986,875"
Cream,4985829,"-11,328",2025,"5,056,574"
Amenazzy,4985133,"2,435",2075,"4,985,133"
mxmtoon,4983509,"16,100",1860,"5,002,689"
Lil Skies,4981194,"2,195",1612,"5,440,185"
